version,n_personas,n_hogares,ing_media,ing_sd,ing_cv
2022,33404,93103,251560.6739138793,597684.9803817442,2.375907851901999
2021,35301,100433,216741.94658085873,509775.21503718774,2.3519914953195675
2020,24577,71935,197929.13822028786,467614.53004220704,2.362535068089718
2019,32664,96240,229383.34710892563,504569.67816373566,2.199678767108295
2018,34772,103741,227855.8574924224,503108.2429117536,2.208011013842315
