version,min,max,media,p10,p90
esi-2018-personas,0,25200000,534929.3831523997,100239.32600244,1003609.19926137
esi-2019-personas,0,20163694.8260742,544773.4206688302,100058.089316411,1046495.76147325
esi-2020-personas,0,18045761.5870711,567410.5351243935,100000,1177962.19281663
esi_2021,0,38206252.8687159,586360.4116193132,140000,1114706.102377744
esi_2022,0,50000000,650711.3445226545,148554.21686747,1237951.80722891
