"version","minimo","maximo","media","percentil_10","percentil_90"
"esi_2022.csv",0,5e+07,650711.344522655,148554.21686747,1237951.80722891
"esi_2021.csv",0,38206252.8687159,586360.411619313,140000,1114706.10237774
"esi-2020-personas.csv",0,18045761.5870711,567410.535124394,1e+05,1177962.19281663
"esi-2019-personas.csv",0,20163694.8260742,544773.42066883,100058.089316411,1046495.76147325
"esi-2018-personas.csv",0,25200000,534929.3831524,100239.32600244,1003609.19926137
